Date   ;Time         Channel;Channel;BPM;Antenna;Power
2015-06-03;15:51:46;1;31.4;1;45
2015-06-03;15:51:48;1;31.4;1;42
2015-06-03;15:51:50;1;31.4;1;42
2015-06-03;15:51:52;1;31.4;1;47
2015-06-03;15:51:53;1;31.4;1;39
2015-06-03;15:51:55;1;31.4;1;43
2015-06-03;15:51:57;1;31.4;1;44
2015-06-03;15:51:59;1;31.4;1;45
2015-06-03;15:52:01;1;31.4;1;44
2015-06-03;15:52:03;1;31.4;1;49
2015-06-03;15:52:05;1;31.4;1;48
2015-06-03;15:52:07;1;31.4;1;43
2015-06-03;15:52:09;1;31.5;1;46
2015-06-03;15:52:11;1;31.4;1;38
2015-06-03;15:52:13;1;31.4;1;43
2015-06-03;15:52:14;1;31.5;1;45
2015-06-03;15:52:16;1;31.4;1;45
2015-06-03;15:52:18;1;31.4;1;45
2015-06-03;15:52:20;1;31.4;1;47
2015-06-03;15:52:24;1;31.5;1;50
2015-06-03;15:52:26;1;31.4;1;47
2015-06-03;15:52:28;1;31.4;1;49
2015-06-03;15:52:30;1;31.4;1;47
2015-06-03;15:52:32;1;31.4;1;46
2015-06-03;15:52:34;1;31.5;1;50
2015-06-03;15:52:35;1;31.5;1;44
2015-06-03;15:52:38;1;31.5;1;47
2015-06-03;15:52:40;1;31.5;1;49
2015-06-03;15:52:42;1;31.5;1;48
2015-06-03;15:52:44;1;31.5;1;49
2015-06-03;15:52:46;1;31.4;1;41
2015-06-03;15:52:48;1;31.5;1;43
2015-06-03;15:52:50;1;31.5;1;47
2015-06-03;15:52:52;1;31.4;1;49
2015-06-03;15:52:54;1;31.5;1;48
2015-06-03;15:52:55;1;31.4;1;52
2015-06-03;15:52:57;1;31.4;1;48
2015-06-03;15:52:59;1;31.4;1;53
2015-06-03;15:53:01;1;31.4;1;52
2015-06-03;15:53:03;1;31.4;1;52
2015-06-03;15:53:05;1;31.4;1;49
2015-06-03;15:53:07;1;31.4;1;50
2015-06-03;15:53:09;1;31.4;1;49
2015-06-03;15:53:11;1;31.4;1;49
2015-06-03;15:53:13;1;31.4;1;51
2015-06-03;15:53:15;1;31.4;1;55
2015-06-03;15:53:16;1;31.3;1;52
2015-06-03;15:53:18;1;31.4;1;50
2015-06-03;15:53:20;1;31.4;1;49
2015-06-03;15:53:22;1;31.4;1;49
2015-06-03;15:53:24;1;31.4;1;50
2015-06-03;15:53:26;1;31.4;1;52
2015-06-03;15:53:28;1;31.4;1;49
2015-06-03;15:53:30;1;31.4;1;50
2015-06-03;15:53:32;1;31.4;1;48
2015-06-03;15:53:34;1;31.4;1;47
2015-06-03;15:53:36;1;31.4;1;46
